text;label
I just won the lottery! This is incredible.;joy
My beloved pet passed away yesterday, and I feel heartbroken.;sadness
I can't believe they cut me off in traffic like that!;anger
There was a sudden loud bang outside, and it really startled me.;fear
Wow, I wasn't expecting such a thoughtful gift!;surprise
The weather today is quite mild and uneventful.;neutral
She received a promotion at work and is absolutely thrilled.;joy
He looked dejected after failing the exam.;sadness
His constant complaining is starting to get on my nerves.;anger
I have a bad feeling about this upcoming meeting.;fear
To my astonishment, they actually agreed with my proposal.;surprise
I'm just sitting here, waiting for the bus.;neutral
We're going on a vacation to our dream destination next month!;joy
The news of the layoffs left many employees feeling insecure.;sadness
He slammed the door shut in frustration.;anger
The thought of public speaking fills me with anxiety.;fear
Imagine my shock when I saw my long-lost friend after so many years!;surprise
The report was factual and presented without any emotional bias.;neutral
Celebrating my birthday with all my favorite people made me so happy.;joy
The cancellation of the event was a major disappointment.;sadness
I am so annoyed that they didn't even apologize for the mistake.;anger
The eerie silence in the house gave me the creeps.;fear
I was completely taken aback by the unexpected turn of events.;surprise
The instructions were clear and easy to follow.;neutral
Hearing their laughter always brings me so much joy.;joy
She couldn't hide her sorrow when she spoke about her loss.;sadness
His voice was filled with rage as he argued his point.;anger
The possibility of failure is always lingering in the back of my mind.;fear
The sudden applause caught me completely off guard.;surprise
I spent the afternoon reading a book in comfortable silence.;neutral
They announced their engagement, and everyone was overjoyed.;joy
He felt a deep sense of despair after the breakup.;sadness
I'm absolutely furious about the way I was treated.;anger
The thought of heights makes my palms sweat.;fear
What a pleasant surprise to see you here!;surprise
The meeting proceeded according to the agenda.;neutral
The children were filled with glee as they opened their presents.;joy
She couldn't contain her sadness during the memorial service.;sadness
His sarcastic remarks were dripping with annoyance.;anger
I have a nagging worry about the upcoming deadline.;fear
The unexpected flowers brightened up my entire day.;surprise
The information presented was objective and unbiased.;neutral
The team's victory sparked scenes of pure elation.;joy
He felt a profound sense of grief after the loss.;sadness
His outburst was a clear indication of his frustration.;anger
The thought of spiders sends shivers down my spine.;fear
Imagine my amazement when I realized I had won the prize!;surprise
The conversation was polite and impersonal.;neutral
Their excitement about the new project was contagious.;joy
She spoke with a heavy heart about the difficult situation.;sadness
